,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
TCGA-A1-A0SQ,0.0,0.4427619,0.0,0.0,2.8369803,0.19149798,0.0,0.20819597,1.0199907,1.5453753,0.30257708,0.0,2.1588562,0.0,0.0,1.3796849,0.0,0.0,5.590271,0.0,0.08522256,0.0,0.0,0.0,0.0,2.026899,0.0,0.0,0.22227663,0.0,1.2656876,0.0,4.948462,0.0,2.8269188,0.55433035,4.912927,3.6227362,3.780758,0.0,0.5642942,0.0,1.3161061,1.9333968,0.4638846,0.7928254,0.0,0.0,0.0,0.0,0.0,0.0,1.0686394,2.1228845,0.0,5.5898933,0.76114863,3.2290072,0.0,3.1147203,0.94793725,0.7722766,0.0,2.5608497
TCGA-A2-A04N,2.5623617,2.2248185,0.938086,3.6568544,1.8900863,1.3514344,0.0,0.43367532,1.8588403,2.1072452,0.0,1.594292,1.5388715,0.5488973,0.0,0.12161523,0.0,0.50845283,0.8161527,0.0,0.0,1.4641205,0.9633193,0.0,0.0,0.0,0.0,0.0,0.17605825,1.0635449,1.2352316,2.1966166,0.020795137,0.40776667,0.0,3.9361718,0.7241585,0.98385787,0.0,0.3626886,0.0,0.4628026,3.8848755,5.105663,0.0,0.514233,0.0,0.0,2.1234422,0.0,0.98987544,0.016118512,0.0,0.0,0.89469254,0.0,2.4650397,1.485791,0.0,0.48453823,0.0,4.099222,1.974648,1.564493
TCGA-A2-A04P,0.0,0.0,0.0,0.0,3.1188748,1.3467999,0.0,0.043358475,4.7905755,0.0,0.42682683,0.0,1.7769231,1.3106573,0.34208304,0.0,2.8460903,2.2629616,2.6441386,1.3135756,0.22449103,1.5834032,0.0,0.0,0.0,1.9012918,2.6023037,6.8268256,0.0,1.2837914,0.873297,0.0,0.0,2.7939386,1.8060044,0.0,0.0,1.2483326,0.0,0.0,0.0,0.0,0.0,0.0,0.45303762,0.0,2.7150087,0.0,0.0,0.45818108,3.0402794,0.0,1.8720503,0.0,0.0,0.069899276,0.0,0.106912464,0.22002925,0.0,2.128206,0.0,0.0,1.5019368
TCGA-A2-A04Q,0.0,0.0,0.0,0.0,3.2921543,0.8221928,0.0,0.0,1.70212,0.0,1.2278323,0.0,1.1360859,2.3630126,1.3751076,0.0,3.6705759,3.5051334,1.171337,1.1042926,0.0,2.5255342,0.0,0.523159,0.0,0.0,1.7581861,4.1029415,1.1277605,1.2828565,0.0,2.5992663,0.0,2.3875215,1.5137442,0.0,0.0,2.5868914,0.0,1.1862259,0.0,0.24803512,0.0,0.0,0.8720206,0.68556887,0.0,0.0,0.0,0.5964077,2.029215,0.07594669,1.8879249,0.0,2.6039004,1.7071345,0.0,0.31087476,0.8341924,0.0,0.90857714,0.0,0.10179668,1.5637041
TCGA-A2-A04R,0.0,1.3169484,1.1950612,1.3461409,1.7940503,0.0,0.0,0.0,0.2763131,2.3226764,0.0,3.123879,2.8840191,1.2493879,0.0,2.7032523,0.0,0.0,5.239328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16505,1.4398726,0.0,1.6147555,0.21235973,1.8137364,2.041317,0.0,3.4221935,3.8462236,0.6128028,1.7589434,0.0,0.0,0.0,0.0,2.303523,0.0,1.2140347,0.0,0.0,1.25241,0.0,0.0,1.1793314,0.0,1.8092604,1.248579,1.2359314,1.0586681,0.1647321,0.0,3.2745543,0.0,3.360976,0.0,2.1231794
TCGA-A2-A04T,1.4512866,0.0,0.0,0.0,1.1542068,2.9561327,0.0,0.0,2.0378735,0.0,4.913396,0.0,1.473308,1.4591459,0.0,1.79372,0.7845981,2.5365806,1.2168714,4.082119,0.5709996,0.0,0.0,0.0,0.0,0.0,4.515378,1.5919201,2.5527081,0.0,3.1499093,0.44747305,0.0,2.5193143,0.9764526,0.0,0.0,0.38835496,0.0,0.0,2.4278522,0.9904052,0.0,0.0,0.0,1.2797153,1.1450005,0.0,0.0,0.09308906,0.0,0.38568425,1.6646183,0.30292523,1.600164,0.9883483,0.0,0.0,3.272688,0.0,3.1263704,0.0,0.0,2.2241974
TCGA-A2-A04U,0.016315535,0.0,0.0,0.0,0.4507751,1.4220468,0.0,0.0,0.9485234,0.0,3.4586122,0.0,0.51719,0.0,0.0,2.1975129,1.4401275,2.3185368,2.2535794,4.099192,2.2664478,0.47083843,0.0,0.0,0.0,0.4250853,0.06861177,3.9890797,0.0,0.0,1.6949074,2.9123428,0.0,7.5820765,1.2493663,0.0,0.0,0.0,0.0,0.0,3.3245542,0.25558388,0.0,0.0,2.8531134,0.21260898,2.3685822,1.7835433,0.0,1.4370496,0.0,0.0,1.1416773,2.20316,0.99263024,2.3354676,0.0,0.0,1.1395526,0.0,3.5245957,0.0,0.0,1.4399625
TCGA-A2-A04V,1.6527658,4.1478863,1.091452,1.3809917,2.2001395,1.3945278,0.0,0.0,0.7993889,1.7713486,0.03330158,3.3731368,2.9302425,1.6869335,0.0,0.0,0.0,0.0,2.6553504,0.0,0.0,2.1908643,0.0,0.40828323,0.0,0.88027877,0.0,0.5850238,1.1294448,0.0,0.6810799,1.1688248,1.7131057,0.9442188,0.0,2.4246383,1.3467351,0.0,0.0,0.3060875,0.0,0.0,0.70949686,3.5682821,1.023757,1.0815992,0.4008913,0.2718624,1.1508907,0.0,0.0,0.0,0.0,2.8034637,0.0,0.4460868,0.88713664,1.5188224,0.0,2.2444518,0.0,4.094407,1.578842,1.8499464
TCGA-A2-A04W,0.0,0.0,0.0,0.0,0.70460296,0.0,0.0,1.4117602,0.8940326,0.0,0.0,0.0,0.6997633,3.187421,2.4276633,0.0,3.4036653,0.0,2.898109,0.0,2.2752752,0.0,0.0,0.0,0.0,0.0,0.5346512,4.1382427,0.0,0.0,0.0,0.0,1.9639437,0.0,0.68285656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1925478,3.1519854,5.9774675,0.0,2.7796874,0.0,0.5189755,0.0,3.6298947,0.0,2.7725093,0.0,2.6146371,6.080386,0.0,2.892945,0.20816831,0.0,0.4969509,0.0,2.1682258,0.27648935
TCGA-A2-A04X,0.0,2.848889,0.0,0.0,3.2962065,0.0,0.0,0.0,0.0686986,2.972209,1.8042805,0.0,4.2877264,0.049799696,0.0,1.5281887,0.0,0.0,4.7112346,0.0,4.179204,0.0,0.0,0.0,0.0,0.0,0.0,0.9704223,0.84678376,0.0,0.39222112,0.0,2.779672,0.3919619,1.5021253,1.6517311,1.3310959,2.2980595,0.0,0.0,0.9196079,0.0,0.0,3.422523,0.0,0.0,0.0,0.0,3.5718095,0.0,1.1877933,0.0,1.3326086,1.5730351,0.2708532,2.7622042,0.0,4.138619,0.0,1.3064167,0.569937,0.0,0.66874015,0.8391428
